lat,long,yyyymmdd,basin_name,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg
47.0,-113.9333333,2009-02-10,UPPER CLARK FORK RIVER BASIN,901,13C01S,Stuart Mountain,7400,23.7,21.9,108.0,24.3,22.8,107.0
46.2666667,-113.1666667,2009-02-10,UPPER CLARK FORK RIVER BASIN,850,13C43S,Warm Springs,7800,18.1,13.1,138.0,19.6,15.2,129.0
46.1833333,-113.85,2009-02-10,BITTERROOT,433,13C39S,Daly Creek,5780,7.4,7.0,106.0,11.1,9.7,114.0
46.6333333,-114.5833333,2009-02-10,BITTERROOT,588,14C05S,Lolo Pass,5240,19.4,19.3,101.0,22.7,24.5,93.0
45.6666667,-113.95,2009-02-10,BITTERROOT,638,13D16S,Moose Creek,6200,12.9,11.9,108.0,17.4,14.5,120.0
45.7333333,-114.4833333,2009-02-10,BITTERROOT,662,14D02S,Nez Perce Camp,5650,11.1,9.2,121.0,18.8,14.4,131.0
45.7,-113.9666667,2009-02-10,BITTERROOT,727,13D22S,Saddle Mtn.,7940,17.5,16.6,105.0,18.0,16.3,110.0
46.25,-113.7666667,2009-02-10,BITTERROOT,760,13C03S,Skalkaho Summit,7250,14.9,14.7,101.0,17.9,15.8,113.0
46.15,-114.45,2009-02-10,BITTERROOT,835,14C13S,Twelvemile Creek,5600,14.3,11.9,120.0,26.3,22.9,115.0
46.15,-114.5,2009-02-10,BITTERROOT,836,14C12S,Twin Lakes,6400,29.1,26.0,112.0,35.7,31.9,112.0
46.9833333,-115.0333333,2009-02-10,LOWER CLARK FORK RIVER BASIN,530,15C10S,Hoodoo Basin,6050,24.8,27.3,91.0,31.7,33.4,95.0
47.5333333,-115.7833333,2009-02-10,LOWER CLARK FORK RIVER BASIN,535,15B21S,Humboldt Gulch,4250,9.4,8.9,106.0,23.9,26.6,90.0
46.6333333,-114.5833333,2009-02-10,LOWER CLARK FORK RIVER BASIN,588,14C05S,Lolo Pass,5240,19.4,19.3,101.0,22.7,24.5,93.0
47.45,-115.7,2009-02-10,LOWER CLARK FORK RIVER BASIN,594,15B02S,Lookout,5190,16.7,20.0,84.0,22.9,28.9,79.0
48.1333333,-115.6166667,2009-02-10,LOWER CLARK FORK RIVER BASIN,932,15A12S,Poorman Creek,5100,22.2,23.7,94.0,32.3,39.8,81.0
47.1833333,-114.3333333,2009-02-10,LOWER CLARK FORK RIVER BASIN,783,14B05S,Sleeping Woman,6150,12.0,10.1,119.0,15.1,14.7,103.0
47.0,-113.9333333,2009-02-10,LOWER CLARK FORK RIVER BASIN,901,13C01S,Stuart Mountain,7400,23.7,21.9,108.0,24.3,22.8,107.0
47.55,-115.8166667,2009-02-10,LOWER CLARK FORK RIVER BASIN,803,15B09S,Sunset,5540,13.9,17.3,80.0,23.4,26.3,89.0
48.3,-116.0666667,2009-02-10,IDAHO PANHANDLE REGION,323,16A08S,Bear Mountain,5400,27.6,38.6,72.0,34.5,49.5,70.0
48.6833333,-117.1833333,2009-02-10,IDAHO PANHANDLE REGION,376,17A01S,Bunchgrass Mdw,5000,15.1,19.0,79.0,19.2,25.2,76.0
47.5333333,-115.7833333,2009-02-10,IDAHO PANHANDLE REGION,535,15B21S,Humboldt Gulch,4250,9.4,8.9,106.0,23.9,26.6,90.0
47.45,-115.7,2009-02-10,IDAHO PANHANDLE REGION,594,15B02S,Lookout,5190,16.7,20.0,84.0,22.9,28.9,79.0
47.0833333,-115.9666667,2009-02-10,IDAHO PANHANDLE REGION,600,15B14S,Lost Lake,6110,34.6,39.9,87.0,41.7,41.9,100.0
47.15,-116.2666667,2009-02-10,IDAHO PANHANDLE REGION,623,16B14S,Mica Creek,4510,16.4,17.6,93.0,31.6,30.6,103.0
48.05,-116.2333333,2009-02-10,IDAHO PANHANDLE REGION,645,16A04S,Mosquito Ridge,5260,18.8,26.0,72.0,27.4,32.3,85.0
47.8833333,-117.0833333,2009-02-10,IDAHO PANHANDLE REGION,707,17B04S,Quartz Peak,4700,14.4,15.6,92.0,20.6,24.3,85.0
48.3666667,-116.6333333,2009-02-10,IDAHO PANHANDLE REGION,738,16A10S,Schweitzer Basin,6090,25.6,32.8,78.0,24.0,29.3,82.0
46.95,-116.3333333,2009-02-10,IDAHO PANHANDLE REGION,752,16C01S,Sherwin,3200,9.4,8.3,113.0,21.9,21.0,104.0
47.55,-115.8166667,2009-02-10,IDAHO PANHANDLE REGION,803,15B09S,Sunset,5540,13.9,17.3,80.0,23.4,26.3,89.0
48.6833333,-117.1833333,2009-02-10,COLUMBIA ABOVE METHOW,376,17A01S,Bunchgrass Mdw,5000,15.1,19.0,79.0,19.2,25.2,76.0
48.7166667,-120.6666667,2009-02-10,COLUMBIA ABOVE METHOW,515,20A05S,Harts Pass,6490,21.7,29.6,73.0,24.8,21.2,94.0
48.3666667,-119.0833333,2009-02-10,COLUMBIA ABOVE METHOW,644,19A13S,Moses Mtn,5010,4.9,10.6,46.0,7.8,13.1,60.0
48.65,-119.8333333,2009-02-10,COLUMBIA ABOVE METHOW,728,19A02S,Salmon Meadows,4460,2.6,6.9,38.0,7.5,10.1,74.0
47.35,-120.6833333,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",352,20B02S,Blewett Pass,4240,8.6,12.9,67.0,24.9,22.1,113.0
48.2,-120.9166667,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",606,20A23S,Lyman Lake,5980,30.5,43.0,71.0,33.7,46.7,72.0
42.0166667,-115.0,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",871,15G02S,Wilson Creek,7120,11.6,9.9,117.0,14.8,11.6,128.0
48.45,-120.9166667,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",681,20A12S,Park Creek Ridge,4600,20.1,33.0,61.0,36.6,43.4,84.0
47.9833333,-120.5666667,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",699,20B24S,Pope Ridge,3590,9.3,14.5,64.0,20.9,22.3,94.0
47.75,-121.1,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",791,21B01S,Stevens Pass,3950,21.7,29.6,73.0,56.3,55.1,102.0
47.2333333,-120.3,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",832,20B25S,Trough,5480,4.0,8.1,49.0,11.9,15.2,78.0
47.2833333,-120.3666667,2009-02-10,"CHELAN, ENTIAT, WENATCHEE",841,20B07S,Upper Wheeler,4330,6.3,9.7,65.0,13.0,15.2,86.0
46.8166667,-121.3333333,2009-02-10,"YAKIMA, AHTANUM",375,21C38S,Bumping Ridge,4610,19.1,18.7,102.0,32.2,37.6,86.0
47.5333333,-121.0833333,2009-02-10,"YAKIMA, AHTANUM",478,21B04S,Fish Lake,3430,17.7,23.3,76.0,40.5,41.0,99.0
46.55,-121.1666667,2009-02-10,"YAKIMA, AHTANUM",502,21C10S,Green Lake,5920,16.0,16.0,100.0,21.4,21.5,100.0
47.2833333,-120.4833333,2009-02-10,"YAKIMA, AHTANUM",507,20B11S,Grouse Camp,5390,11.2,14.0,93.0,20.5,19.1,107.0
46.35,-121.0833333,2009-02-10,"YAKIMA, AHTANUM",599,21C39S,Lost Horse,5120,8.9,14.7,61.0,14.7,20.6,71.0
46.9,-121.4833333,2009-02-10,"YAKIMA, AHTANUM",642,21C17S,Morse Lake,5410,21.8,38.5,57.0,38.6,48.9,79.0
47.3833333,-121.0666667,2009-02-10,"YAKIMA, AHTANUM",734,21B51S,Sasse Ridge,4340,13.6,24.1,56.0,36.8,37.4,98.0
46.6333333,-121.3833333,2009-02-10,"YAKIMA, AHTANUM",863,21C28S,White Pass E.S.,4440,14.5,16.9,86.0,28.3,27.2,104.0
43.9333333,-110.45,2009-02-10,SNAKE ABOVE PALISADES,314,10F02S,Base Camp,7060,11.2,11.5,97.0,14.0,14.9,94.0
42.9666667,-110.6166667,2009-02-10,SNAKE ABOVE PALISADES,353,10G02S,Blind Bull Sum,8650,17.5,15.1,116.0,14.7,13.7,107.0
42.65,-110.8166667,2009-02-10,SNAKE ABOVE PALISADES,419,10G25S,Cottonwood Creek,7670,18.1,13.8,131.0,21.6,16.9,128.0
43.1333333,-110.2,2009-02-10,SNAKE ABOVE PALISADES,460,10F17S,East Rim Divide,7930,6.8,7.0,97.0,9.4,8.2,115.0
43.35,-110.4333333,2009-02-10,SNAKE ABOVE PALISADES,497,10F29S,Granite Creek,6770,11.7,11.6,101.0,16.2,14.5,112.0
44.1333333,-110.8333333,2009-02-10,SNAKE ABOVE PALISADES,499,10E15S,Grassy Lake,7265,21.8,22.2,98.0,24.9,25.6,97.0
43.3833333,-110.1333333,2009-02-10,SNAKE ABOVE PALISADES,506,10F19S,Gros Ventre Summit,8750,9.3,8.7,107.0,10.3,8.7,118.0
44.2166667,-110.6666667,2009-02-10,SNAKE ABOVE PALISADES,577,10E09S,Lewis Lake Divide,7850,18.1,21.8,83.0,22.3,24.8,90.0
43.1666667,-110.1333333,2009-02-10,SNAKE ABOVE PALISADES,597,10F16S,Loomis Park,8240,12.0,10.2,118.0,14.4,12.0,120.0
43.5166667,-110.9166667,2009-02-10,SNAKE ABOVE PALISADES,689,10F23S,Phillips Bench,8200,18.1,16.9,107.0,20.3,19.5,104.0
42.5,-110.9166667,2009-02-10,SNAKE ABOVE PALISADES,730,10G08S,Salt River Summit,7640,9.1,8.5,107.0,10.6,11.4,93.0
42.5333333,-110.6666667,2009-02-10,SNAKE ABOVE PALISADES,779,10G20S,Spring Creek Divide,9000,18.1,15.7,115.0,18.6,16.5,113.0
43.75,-110.05,2009-02-10,SNAKE ABOVE PALISADES,822,10F09S,Togwotee Pass,9580,19.7,15.7,125.0,21.7,16.9,128.0
44.15,-110.2166667,2009-02-10,SNAKE ABOVE PALISADES,837,10E17S,Two Ocean Plateau,9240,24.8,18.9,131.0,19.2,18.5,104.0
42.8166667,-110.8333333,2009-02-10,SNAKE ABOVE PALISADES,868,10G23S,Willow Creek,8080,22.9,18.2,126.0,27.4,23.0,119.0
44.5,-111.1333333,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",347,11E35S,Black Bear,8170,22.3,25.6,87.0,23.5,26.5,89.0
44.4333333,-112.0,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",424,11E37S,Crab Creek,6900,8.0,8.5,94.0,12.6,11.1,114.0
44.1333333,-110.8333333,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",499,10E15S,Grassy Lake,7265,21.8,22.2,98.0,24.9,25.6,97.0
44.4166667,-111.3833333,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",546,11E10S,Island Park,6290,10.7,10.5,102.0,12.8,13.2,97.0
44.2166667,-110.6666667,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",577,10E09S,Lewis Lake Divide,7850,18.1,21.8,83.0,22.3,24.8,90.0
44.5833333,-111.1166667,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",609,11E31S,Madison Plateau,7750,12.8,15.1,85.0,14.8,18.4,80.0
43.5166667,-110.9166667,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",689,10F23S,Phillips Bench,8200,18.1,16.9,107.0,20.3,19.5,104.0
43.5666667,-111.2166667,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",695,11F02S,Pine Creek Pass,6720,9.3,10.2,91.0,13.5,15.3,88.0
42.5166667,-111.95,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",741,11G30S,Sedgwick Peak,7850,12.8,13.6,94.0,14.3,14.5,99.0
43.2166667,-111.6833333,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",749,11F11S,Sheep Mtn.,6650,8.3,9.8,85.0,12.2,11.6,105.0
42.5666667,-111.3,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",761,11G05S,Slug Creek Divide,7225,10.1,9.6,105.0,16.9,14.4,117.0
42.95,-111.3666667,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",770,11G01S,Somsen Ranch,6800,9.5,9.4,101.0,13.7,11.8,116.0
44.6166667,-111.15,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",858,11E30S,Whiskey Creek,6800,9.3,10.0,93.0,12.4,14.1,88.0
44.5333333,-111.4166667,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",860,11E36S,White Elephant,7710,14.7,17.4,84.0,16.7,20.3,82.0
42.75,-112.4833333,2009-02-10,"HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",867,12G17S,Wildhorse Divide,6490,9.7,9.8,99.0,15.1,13.4,113.0
43.2666667,-115.35,2009-02-10,BIG AND LITTLE WOOD BASINS,382,15F09S,Camas Creek Divide,5710,9.6,9.7,99.0,12.6,12.9,98.0
43.7666667,-114.4166667,2009-02-10,BIG AND LITTLE WOOD BASINS,895,14F19S,Chocolate Gulch,6310,6.4,9.0,71.0,9.8,11.7,84.0
43.6,-114.6666667,2009-02-10,BIG AND LITTLE WOOD BASINS,450,14F08S,Dollarhide Summit,8420,12.7,14.0,93.0,17.0,18.1,94.0
43.8833333,-114.6666667,2009-02-10,BIG AND LITTLE WOOD BASINS,489,14F17S,Galena,7470,9.0,11.7,77.0,10.4,13.3,78.0
43.8666667,-114.7166667,2009-02-10,BIG AND LITTLE WOOD BASINS,490,14F12S,Galena Summit,8780,11.3,12.6,90.0,12.4,14.0,89.0
43.6166667,-113.9333333,2009-02-10,BIG AND LITTLE WOOD BASINS,492,13F04S,Garfield R.S.,6560,6.6,7.1,93.0,8.6,9.0,96.0
43.7166667,-114.1666667,2009-02-10,BIG AND LITTLE WOOD BASINS,537,14F16S,Hyndman,7620,7.1,8.3,86.0,11.1,11.1,100.0
43.8166667,-114.2666667,2009-02-10,BIG AND LITTLE WOOD BASINS,601,14F03S,Lost-Wood Divide,7900,10.3,13.4,77.0,11.1,14.7,76.0
43.6333333,-113.9666667,2009-02-10,BIG AND LITTLE WOOD BASINS,805,13F09S,Swede Peak,7640,8.0,10.1,79.0,11.3,11.7,97.0
43.8,-114.85,2009-02-10,BIG AND LITTLE WOOD BASINS,845,14F04S,Vienna Mine,8960,17.9,20.7,86.0,20.3,21.2,96.0
43.75,-113.9333333,2009-02-10,BIG AND LITTLE LOST BASINS,320,13F03S,Bear Canyon,7900,8.8,9.2,96.0,10.7,11.2,96.0
44.0166667,-113.4666667,2009-02-10,BIG AND LITTLE LOST BASINS,524,13E27S,Hilts Creek,8000,7.6,8.4,90.0,9.0,9.0,100.0
43.8166667,-114.2666667,2009-02-10,BIG AND LITTLE LOST BASINS,601,14F03S,Lost-Wood Divide,7900,10.3,13.4,77.0,11.1,14.7,76.0
44.4333333,-113.3166667,2009-02-10,BIG AND LITTLE LOST BASINS,620,13E18S,Meadow Lake,9150,9.0,10.0,90.0,10.3,11.6,89.0
44.4166667,-113.4,2009-02-10,BIG AND LITTLE LOST BASINS,636,13E06S,Moonshine,7440,6.0,6.4,94.0,7.9,8.8,90.0
43.8666667,-114.2166667,2009-02-10,BIG AND LITTLE LOST BASINS,792,14F02S,Stickney Mill,7430,6.1,5.4,113.0,7.9,7.2,110.0
41.8333333,-115.45,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",321,15H01S,Bear Creek,8040,15.0,13.1,115.0,18.0,15.0,120.0
41.7666667,-115.7,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",336,15H04S,Big Bend,6898,8.5,6.8,125.0,10.2,7.6,134.0
42.1666667,-114.2,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",359,14G01S,Bostetter R.S.,7500,10.3,10.8,95.0,13.7,12.2,112.0
42.3166667,-113.6166667,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",534,13G01S,Howell Canyon,7980,14.2,15.4,92.0,19.6,18.5,106.0
42.1833333,-114.2833333,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",610,14G02S,Magic Mountain,6880,13.5,13.5,100.0,16.4,15.6,105.0
41.8666667,-115.25,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",698,15H14S,Pole Creek R.S.,8360,14.4,13.2,109.0,9.3,8.0,116.0
41.7333333,-115.4666667,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",746,15H03S,Seventysix Creek,7350,6.8,8.0,85.0,11.4,10.2,112.0
42.0166667,-115.0,2009-02-10,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",871,15G02S,Wilson Creek,7120,11.6,9.9,117.0,14.8,11.6,128.0
43.75,-115.2333333,2009-02-10,"WEISER, PAYETTE, BOISE",306,15F04S,Atlanta Summit,7580,16.4,20.0,82.0,20.0,22.8,88.0
44.3,-115.2333333,2009-02-10,"WEISER, PAYETTE, BOISE",312,15E11S,Banner Summit,7040,15.7,16.8,93.0,18.4,21.0,88.0
44.95,-116.15,2009-02-10,"WEISER, PAYETTE, BOISE",319,16E11S,Bear Basin,5350,10.3,11.5,90.0,14.9,17.2,87.0
44.6,-116.9833333,2009-02-10,"WEISER, PAYETTE, BOISE",324,16E10S,Bear Saddle,6180,11.2,17.3,65.0,15.1,17.8,85.0
44.6333333,-115.8,2009-02-10,"WEISER, PAYETTE, BOISE",338,15E02S,Big Creek Summit,6560,17.6,22.5,78.0,21.4,24.9,86.0
45.05,-116.1333333,2009-02-10,"WEISER, PAYETTE, BOISE",370,16D09S,Brundage Reservoir,6250,16.1,18.8,86.0,22.9,25.8,89.0
44.2833333,-115.65,2009-02-10,"WEISER, PAYETTE, BOISE",423,15E08S,Cozy Cove,5400,8.7,10.5,83.0,13.4,17.6,76.0
44.55,-115.5666667,2009-02-10,"WEISER, PAYETTE, BOISE",439,15E04S,Deadwood Summit,6860,22.2,26.2,85.0,24.1,31.0,78.0
43.6,-114.6666667,2009-02-10,"WEISER, PAYETTE, BOISE",450,14F08S,Dollarhide Summit,8420,12.7,14.0,93.0,17.0,18.1,94.0
43.95,-115.2666667,2009-02-10,"WEISER, PAYETTE, BOISE",496,15F14S,Graham Guard Sta.,5690,9.3,10.1,92.0,14.6,16.1,91.0
44.05,-115.45,2009-02-10,"WEISER, PAYETTE, BOISE",550,15E09S,Jackson Peak,7070,15.7,18.9,83.0,20.7,23.0,90.0
43.9333333,-115.6666667,2009-02-10,"WEISER, PAYETTE, BOISE",637,15F01S,Mores Creek Summit,6100,17.5,21.1,83.0,21.2,25.3,84.0
43.5,-115.5666667,2009-02-10,"WEISER, PAYETTE, BOISE",704,15F06S,Prairie,4800,5.9,4.5,131.0,9.4,10.7,88.0
45.1833333,-115.9666667,2009-02-10,"WEISER, PAYETTE, BOISE",740,15D01S,Secesh Summit,6540,16.9,20.7,82.0,16.9,23.0,73.0
44.7666667,-116.25,2009-02-10,"WEISER, PAYETTE, BOISE",782,16E05S,Squaw Flat,6240,12.7,14.0,91.0,17.5,21.2,83.0
43.6333333,-115.4333333,2009-02-10,"WEISER, PAYETTE, BOISE",830,15F05S,Trinity Mtn.,7770,21.5,25.7,84.0,24.6,27.7,89.0
43.8,-114.85,2009-02-10,"WEISER, PAYETTE, BOISE",845,14F04S,Vienna Mine,8960,17.9,20.7,86.0,20.3,21.2,96.0
45.0666667,-116.45,2009-02-10,"WEISER, PAYETTE, BOISE",855,16D08S,West Branch,5560,13.1,15.2,86.0,19.8,21.6,92.0
41.7666667,-115.7,2009-02-10,OWYHEE MALHEUR,336,15H04S,Big Bend,6898,8.5,6.8,125.0,10.2,7.6,134.0
44.25,-118.5166667,2009-02-10,OWYHEE MALHEUR,357,18E16S,Blue Mountain Spring,5870,9.5,11.9,80.0,14.0,17.9,78.0
41.8166667,-116.1,2009-02-10,OWYHEE MALHEUR,476,16H08S,Fawn Creek,7031,10.8,10.9,99.0,17.2,15.0,115.0
41.55,-116.0,2009-02-10,OWYHEE MALHEUR,548,16H02S,Jack Creek Upper,7377,10.4,10.7,97.0,16.2,13.5,120.0
44.2166667,-118.6333333,2009-02-10,OWYHEE MALHEUR,563,18E18S,Lake Creek R.S.,5240,6.1,10.1,60.0,10.5,13.8,76.0
41.7833333,-116.0333333,2009-02-10,OWYHEE MALHEUR,573,16H05S,Laurel Draw,6682,9.0,8.5,106.0,14.0,12.5,112.0
42.6,-116.5666667,2009-02-10,OWYHEE MALHEUR,654,16G07S,Mud Flat,5730,5.2,5.6,93.0,6.8,8.0,85.0
42.7666667,-116.9,2009-02-10,OWYHEE MALHEUR,774,16G01S,South Mtn.,6500,9.5,12.8,74.0,15.7,16.4,96.0
41.2333333,-116.0333333,2009-02-10,OWYHEE MALHEUR,811,15H09S,Taylor Canyon,6325,6.7,4.4,152.0,7.2,6.0,120.0
45.2166667,-117.2,2009-02-10,"GRAND RONDE, POWDER, BURNT, IMNAHA",302,17D02S,Aneroid Lake #2,7400,10.0,16.0,62.0,21.0,20.9,100.0
45.15,-118.2166667,2009-02-10,"GRAND RONDE, POWDER, BURNT, IMNAHA",331,18D09S,Beaver Reservoir,5150,6.6,7.1,93.0,14.7,13.9,106.0
44.8333333,-118.1833333,2009-02-10,"GRAND RONDE, POWDER, BURNT, IMNAHA",361,18E05S,Bourne,5850,9.2,12.0,77.0,15.3,17.1,89.0
45.1833333,-118.55,2009-02-10,"GRAND RONDE, POWDER, BURNT, IMNAHA",422,18D08S,County Line,4830,4.1,4.2,98.0,9.6,10.1,95.0
44.8666667,-118.1166667,2009-02-10,"GRAND RONDE, POWDER, BURNT, IMNAHA",464,18E03S,Eilertson Meadows,5510,7.8,8.5,92.0,14.3,14.5,99.0
